District District,Constituency #,Constituency Name,Winner Candidate,Winner Party,Winner Party.1,Winner Votes,Winner %,Runner-up Candidate,Runner-up Party,Runner-up Party.1,Runner-up Votes,Runner-up %,Margin Margin
Varanasi,391,Sevapuri,Neel Ratan Singh Patel Neelu,,AD(S),103423,50.48,Surendra Singh Patel,,SP,54241,26.47,49182
Bhadohi,392,Bhadohi,Ravindra Nath Tripathi,,BJP,79519,33.32,Zahid Beg,,SP,78414,32.85,1105
Bhadohi,393,Gyanpur,Vijay Mishra,,NISHAD,66448,31.97,Mahendra Kumar Bind,,BJP,46218,22.23,20230
Bhadohi,394,Aurai (SC),Dinanath Bhaskar,,BJP,83325,40.94,Madhubala,,SP,63546,31.22,19779
Mirzapur,395,Chhanbey (SC),Rahul Prakash,,AD(S),107007,50.62,Dhaneswar,,BSP,43539,20.6,63468
Mirzapur,396,Mirzapur,Ratnakar Mishra,,BJP,109196,48.77,Kailash Chaurasiya,,SP,51784,23.13,57412
Mirzapur,397,Majhawan,Suchismita Maurya,,BJP,107839,45.21,Ramesh Chand Bind,,BSP,66680,27.96,41159
Mirzapur,398,Chunar,Anurag Singh,,BJP,105608,49.34,Jagtamba Singh Patel,,SP,43380,20.27,62228
Mirzapur,399,Marihan,Rama Shankar Singh,,BJP,106517,45.19,Lalitesh Pati Tripathi,,INC,59919,25.42,46598
Sonbhadra,400,Ghorawal,Anil Kumar Maurya,,BJP,114305,48.89,Ramesh Chandra,,SP,56656,24.23,57649
Sonbhadra,401,Robertsganj,Bhupesh Chaubey,,BJP,89932,44.46,Avinash Kushvaha,,SP,49394,24.42,40538
Sonbhadra,402,Obra (ST),Sanjiv Kumar,,BJP,78058,49.24,Ravi Gond,,SP,33789,21.31,44269
Sonbhadra,403,Duddhi (ST),Hariram,,AD(S),64399,34.24,Vijay Singh Gond,,BSP,63314,33.66,1085
