District District,Constituency #,Constituency Name,Winner Candidate,Winner Party,Winner Party.1,Winner Votes,Winner %,Runner-up Candidate,Runner-up Party,Runner-up Party.1,Runner-up Votes,Runner-up %,Margin Margin
Banda,234,Naraini (SC),Raj Karan Kabir,,BJP,92412,46.13,Bharat Lal Diwakar,,INC,47405,23.66,45007
Banda,235,Banda,Prakash Dwivedi,,BJP,83169,45.86,Madhusudan Kushwaha,,BSP,50341,27.76,32828
Chitrakoot,236,Chitrakoot,Chandrika Prasad Upadhyay,,BJP,90366,41.52,Veer Singh,,SP,63430,29.14,26936
Chitrakoot,237,Manikpur,R. K. Singh Patel,,BJP,84988,44.54,Sampat Patel,,INC,40524,21.24,44464
Fatehpur,238,Jahanabad,Jai Kumar Singh Jaiki,,AD(S),81438,45.18,Madangopal Verma,,SP,33832,18.77,47606
Fatehpur,239,Bindki,Karan Singh Patel,,BJP,97996,53.89,Rameshwar Dayal,,SP,41618,22.89,56378
Fatehpur,240,Fatehpur,Vikram Singh,,BJP,89481,46.31,Chandra Prakash Lodhi,,SP,57983,30.01,31498
Fatehpur,241,Ayah Shah,Vikas Gupta,,BJP,81203,54.38,Ayodhya Prasad,,SP,29238,19.58,51965
Fatehpur,242,Husainganj,Ranvendra Pratap Singh,,BJP,73595,42.47,Usha Maurya,,INC,55002,31.74,18593
Fatehpur,243,Khaga (SC),Krishna Paswan,,BJP,94954,52.53,Om Prakash Gihar,,INC,38520,21.31,56434
Pratapgarh,244,Rampur Khas,Aradhana Misra,,INC,81463,48.19,Nagesh Pratap Singh,,BJP,64397,38.09,17066
Pratapgarh,245,Babaganj (SC),Vinod Kumar,,Ind,87778,53.33,Pawan Kumar,,BJP,50618,30.75,37160
Pratapgarh,246,Kunda,Raghuraj Pratap Singh,,Ind,136597,69.32,Janaki Sharan,,BJP,32950,16.72,103647
Pratapgarh,247,Vishwanathganj,Rakesh Kumar Verma,,AD(S),81899,42.07,Sanjay Pandey,,INC,58541,30.07,23358
Pratapgarh,248,Pratapgarh,Sangam Lal Gupta,,AD(S),80828,44.17,Nagrenda Singh,,SP,46274,25.29,34554
Pratapgarh,249,Patti,Rajendra Pratap Singh,,BJP,75011,36.47,Ram Singh,,SP,73538,35.75,1476
