Constituency number,Constituency name,Reserved for (SC/STNone),Electors [6],District[7],Lok Sabha constituency
336.0,Rudrapur,,321349.0,Deoria,Bansgaon
337.0,Deoria,,351651.0,Deoria,Deoria
338.0,Pathardeva,,338872.0,Deoria,Deoria
339.0,Rampur Karkhana,,356278.0,Deoria,Deoria
340.0,Bhatpar Rani,,338287.0,Deoria,Salempur
341.0,Salempur,SC,344224.0,Deoria,Salempur
342.0,Barhaj,,318521.0,Deoria,Bansgaon
343.0,Atrauliya,,380092.0,Azamgarh,Lalganj
344.0,Gopalpur,,350363.0,Azamgarh,Azamgarh
345.0,Sagri,,336378.0,Azamgarh,Azamgarh
346.0,Mubarakpur,,354153.0,Azamgarh,Azamgarh
347.0,Azamgarh,,396271.0,Azamgarh,Azamgarh
348.0,Nizamabad,,327480.0,Azamgarh,Lalganj
349.0,Phoolpur Pawai,,328807.0,Azamgarh,Lalganj
350.0,Didarganj,,365522.0,Azamgarh,Lalganj
351.0,Lalganj,SC,407539.0,Azamgarh,Lalganj
352.0,Mehnagar,SC,404280.0,Azamgarh,Azamgarh
353.0,Madhuban,,403798.0,Mau,Ghosi
354.0,Ghosi,,438832.0,Mau,Ghosi
355.0,Muhammadabad-Gohna,SC,380470.0,Mau,Ghosi
356.0,Mau,,481715.0,Mau,Ghosi
357.0,Belthara Road,SC,358231.0,Ballia,Salempur
358.0,Rasara,,356377.0,Ballia,Ghosi
359.0,Sikanderpur,,307974.0,Ballia,Salempur
360.0,Phephana,,331153.0,Ballia,Ballia
361.0,Ballia Nagar,,375300.0,Ballia,Ballia
362.0,Bansdih,,408263.0,Ballia,Salempur
363.0,Bairia,,367176.0,Ballia,Ballia
364.0,Badlapur,,351356.0,Jaunpur,Jaunpur
365.0,Shahganj,,407439.0,Jaunpur,Jaunpur
366.0,Jaunpur,,435634.0,Jaunpur,Jaunpur
367.0,Malhani,,379389.0,Jaunpur,Jaunpur
368.0,Mungra Badshahpur,,386422.0,Jaunpur,Jaunpur
369.0,Machhlishahr,SC,402078.0,Jaunpur,Machhlishahr
