District,Constituency,Constituency,Turnout,Winner,Winner,Winner,Winner,Winner,Runner-up,Runner-up,Runner-up,Runner-up,Runner-up,Margin
District,#,Name,%,Candidate,Party,Party.1,Votes,%,Candidate,Party,Party.1,Votes,%,Margin
Raebareli,177.0,Bachhrawan (SC),62.17,Shyam Sunder Bharti,,SP,65747.0,31.38,Laxmikant,,AD(S),62935.0,30.04,2812.0
Amethi,178.0,Tiloi,58.31,Mayankeshwar Sharan Singh,,BJP,99472.0,48.54,Mohd Naim,,SP,71643.0,34.96,27829.0
Raebareli,179.0,Harchandpur,63.09,Rahul Rajpoot,,SP,92498.0,45.87,Rakesh Singh,,BJP,78009.0,38.69,14489.0
Raebareli,180.0,Rae Bareli,62.32,Aditi Singh,,BJP,102429.0,44.51,Ram Pratap Yadav,,SP,95254.0,41.4,7175.0
Raebareli,181.0,Salon (SC),57.35,Ashok Kori,,BJP,87715.0,43.79,Jagdish Prasad,,SP,85604.0,42.73,1511.0
Raebareli,182.0,Sareni,58.34,Devendra Pratap Singh,,SP,66166.0,30.53,Dhirendra Bahadur Singh,,BJP,62359.0,28.78,3807.0
Raebareli,183.0,Unchahar,62.54,Manoj Kumar Pandey,,SP,82514.0,38.92,Amarpal Maurya,,BJP,75893.0,35.79,6621.0
Amethi,184.0,Jagdishpur (SC),53.72,Suresh Kumar,,BJP,89315.0,43.94,Vijay Kumar,,INC,66491.0,32.71,22824.0
Amethi,185.0,Gauriganj,57.94,Rakesh Pratap Singh,,SP,79040.0,38.96,Chandraprakash Mishra,,BJP,72077.0,35.53,6963.0
Amethi,186.0,Amethi,54.27,Maharaji Prajapati,,SP,88217.0,46.46,Sanjaya Sinh,,BJP,70121.0,39.93,18096.0
Sultanpur,187.0,Isauli,56.54,Mohammad Tahir Khan,,SP,69629.0,34.34,Om Prakash Pandey,,BJP,69360.0,34.21,269.0
Sultanpur,188.0,Sultanpur,57.68,Vinod Singh,,BJP,92715.0,42.24,Anoop Sanda,,SP,91706.0,41.78,1009.0
Sultanpur,189.0,Sadar,59.1,Raj Prasad Upadhyay,,BJP,85249.0,41.89,Arun Verma,,SP,69495.0,34.15,15754.0
Sultanpur,190.0,Lambhua,57.12,Sitaram Verma,,BJP,82999.0,39.37,Santosh Pandey,,SP,73466.0,34.85,9533.0
Sultanpur,191.0,Kadipur (SC),58.48,Rajesh Gautam,,BJP,96405.0,43.44,Bhagelu Ram,,SP,70682.0,31.85,25723.0
Farrukhabad,192.0,Kaimganj,61.46,Dr. Surabhi Singh,,AD(S),114952.0,47.65,Sarvesh Ambedkar,,SP,96409.0,39.97,18543.0
Farrukhabad,193.0,Amritpur,59.16,Sushil Kumar Shakya,,BJP,98848.0,53.1,Dr. Jitendra Singh Yadav,,SP,54162.0,29.1,44686.0
Farrukhabad,194.0,Farrukhabad,56.0,Sunil Dutt Dwivedi,,BJP,112314.0,53.83,Suman Shakya,,SP,72988.0,34.99,39326.0
Farrukhabad,195.0,Bhojpur,61.66,Nagendra Singh Rathore,,BJP,99979.0,50.68,Arshad Jamal Siddiqui,,SP,72521.0,36.76,27468.0
Kannauj,196.0,Chhibramau,60.76,Archana Pandey,,BJP,124773.0,44.31,Arvind Singh Yadav,,SP,123662.0,43.91,1111.0
Kannauj,197.0,Tirwa,62.63,Kailash Singh Rajput,,BJP,106089.0,44.51,Anil Kumar Pal,,SP,101481.0,42.57,4608.0
Kannauj,198.0,Kannauj (SC),63.29,Asim Arun,,BJP,120876.0,44.53,Anil Kumar Dohare,,SP,114786.0,42.29,6090.0
Etawah,199.0,Jaswantnagar,64.69,Shivpal Singh Yadav,,SP,159718.0,62.97,Vivek Shakya,,BJP,68739.0,27.1,90979.0
Etawah,200.0,Etawah,60.4,Sarita Bhadauria,,BJP,98150.0,39.97,Sarvesh Kumar Shakya,,SP,94166.0,38.35,3984.0
Etawah,201.0,Bharthana (SC),60.53,Raghvendra Kumar Singh,,SP,103676.0,42.02,Siddharth Shanker,,BJP,96117.0,38.96,7559.0
Auraiya,202.0,Bidhuna,62.61,Rekha Verma,,SP,92757.0,42.59,Riya Shakya,,BJP,89492.0,39.19,3265.0
Auraiya,203.0,Dibiyapur,62.03,Pradeep Kumar Yadav,,SP,80865.0,40.34,Lakhan Singh Rajput,,BJP,80392.0,40.1,473.0
Auraiya,204.0,Auraiya (SC),58.8,Gudiya Katheriya,,BJP,88631.0,45.28,Jitendra Kumar Dohare,,SP,66184.0,33.81,22447.0
Kanpur Dehat,205.0,Rasulabad (SC),60.63,Poonam Sankhwar,,BJP,91783.0,46.77,Kamlesh Chandra Diwakar,,SP,70271.0,35.8,21512.0
Kanpur Dehat,206.0,Akbarpur-Raniya,64.73,Pratibha Shukla,,BJP,92827.0,43.82,Dr. Ram Prakash Kushwaha,,SP,79410.0,37.49,13417.0
Kanpur Dehat,207.0,Sikandra,60.1,Ajit Singh Pal,,BJP,89461.0,44.89,Prabhakar Pandey,,SP,57894.0,29.05,31567.0
Kanpur Dehat,208.0,Bhognipur,62.27,Rakesh Sachan,,BJP,87809.0,40.25,Narendra Pal Singh,,SP,75916.0,34.8,11893.0
Kanpur Nagar,209.0,Bilhaur (SC),62.23,Rahul Bachha Sonkar,,BJP,123094.0,50.34,Rachna Singh,,SP,80743.0,33.02,42351.0
Kanpur Nagar,210.0,Bithoor,65.59,Abhijeet Singh Sanga,,BJP,107330.0,44.46,Munendra Shukla,,SP,86257.0,35.73,21073.0
Kanpur Nagar,211.0,Kalyanpur,52.89,Neelima Katiyar,,BJP,98997.0,52.71,Satish Kumar Nigam,,SP,77462.0,41.24,21535.0
Kanpur Nagar,212.0,Govindnagar,54.66,Surendra Maithani,,BJP,117501.0,61.03,Vikas Yadav,,SP,36605.0,19.05,80896.0
Kanpur Nagar,213.0,Sishamau,56.83,Haji Irfan Solanki,,SP,79163.0,50.68,Salil Vishnoi,,BJP,66897.0,42.83,12266.0
Kanpur Nagar,214.0,Arya Nagar,50.95,Amitabh Bajpai,,SP,76897.0,50.56,Suresh Awasthi,,BJP,68973.0,45.35,7924.0
Kanpur Nagar,215.0,Kidwai Nagar,59.06,Mahesh Trivedi,,BJP,114111.0,55.39,Ajay Kapoor,,INC,76351.0,37.06,37760.0
Kanpur Nagar,216.0,Kanpur Cantonment,52.37,Mohammed Hasan,,SP,94729.0,49.99,Raghunandan Singh Bhadauria,,BJP,74742.0,39.44,19987.0
Kanpur Nagar,217.0,Maharajpur,56.25,Satish Mahana,,BJP,152883.0,60.6,Fateh Bahadur Singh Gill,,SP,70622.0,28.0,82261.0
Kanpur Nagar,218.0,Ghatampur (SC),60.55,Saroj Kureel,,AD(S),81727.0,41.6,Bhagwati Prasad Sagar,,SP,67253.0,34.23,14474.0
Jalaun,219.0,Madhogarh,57.21,Moolchandra Singh,,BJP,105231.0,41.29,Sheetal Kushwaha,,BSP,70257.0,27.57,34974.0
Jalaun,220.0,Kalpi,59.99,Vinod Chaturvedi,,SP,69782.0,29.48,Chhote Singh,,NISHAD,66966.0,28.29,2816.0
Jalaun,221.0,Orai (SC),60.93,Gauri Shankar,,BJP,128644.0,47.45,Dayashankar Verma,,SP,90996.0,33.56,37648.0
Jhansi,222.0,Babina,70.73,Rajeev Singh Parichha,,BJP,118343.0,50.44,Yashpal Singh Yadav,,SP,73814.0,31.46,44529.0
Jhansi,223.0,Jhansi Nagar,59.88,Ravi Sharma,,BJP,148262.0,58.65,Sitaram Kushwaha,,SP,71909.0,28.45,76353.0
Jhansi,224.0,Mauranipur (SC),66.95,Rashmi Arya,,AD(S),143577.0,51.83,Tilak Chandra Ahirwar,,SP,84982.0,30.68,58595.0
Jhansi,225.0,Garautha,67.06,Jawahar Lal Rajput,,BJP,114059.0,48.34,Deep Narayan Singh,,SP,80397.0,34.07,33662.0
Lalitpur,226.0,Lalitpur,68.27,Ramratan Kushwaha,,BJP,176550.0,52.99,Chandrabhusan Bundela,,BSP,69335.0,20.81,107215.0
Lalitpur,227.0,Mehroni (SC),74.86,Manohar Lal Panth,,BJP,184778.0,54.86,Kiran Ramesh Khatik,,BSP,74327.0,22.07,110451.0
Hamirpur,228.0,Hamirpur,63.65,Manoj Kumar Prajapati,,BJP,105432.0,40.14,Ram Prakash Prajapati,,SP,79947.0,30.44,25485.0
Hamirpur,229.0,Rath (SC),64.84,Manisha Anuragi,,BJP,139373.0,53.79,Chandravati,,SP,77394.0,29.87,61979.0
Mahoba,230.0,Mahoba,65.4,Rakesh Kumar Goswami,,BJP,94490.0,45.61,Manoj Tiwari,,SP,51043.0,24.64,43447.0
Mahoba,231.0,Charkhari,64.39,Brijbhushan Rajpoot,,BJP,102051.0,45.75,Ramjeevan Yadav,,SP,60170.0,26.97,41881.0
Banda,232.0,Tindwari,61.63,Ramakesh Nishad,,BJP,86812.0,44.24,Brijesh Prajapati,,SP,58387.0,29.76,28425.0
Banda,233.0,Baberu,60.75,Vishambhar Singh Yadav,,SP,79614.0,38.75,Ajay Kumar,,BJP,72221.0,35.15,7393.0
Banda,234.0,Naraini (SC),62.5,Ommani Verma,,BJP,83263.0,38.91,Kiran Verma,,SP,76544.0,35.77,6719.0
Banda,235.0,Banda,63.59,Prakash Dwivedi,,BJP,81557.0,41.34,Manjula Singh,,SP,66343.0,33.63,15214.0
Chitrakoot,236.0,Chitrakoot,64.61,Anil Pradhan,,SP,104771.0,43.23,Chandrika Prasad Upadhyay,,BJP,83895.0,34.62,20876.0
Chitrakoot,237.0,Manikpur,61.34,Avinash Chandra Dwivedi,,AD(S),73132.0,35.17,Veer Singh Patel,,SP,72084.0,34.67,1048.0
Fatehpur,238.0,Jahanabad,61.16,Rajendra Singh Patel,,BJP,78503.0,41.21,Madan Gopal Verma,,SP,60311.0,31.66,18192.0
Fatehpur,239.0,Bindki,60.98,Jai Kumar Singh Jaiki,,AD(S),78165.0,40.96,Rameshwar Dayal,,SP,74368.0,38.97,3797.0
Fatehpur,240.0,Fatehpur,59.87,Chandra Prakash Lodhi,,SP,96839.0,45.24,Vikram Singh,,BJP,88238.0,41.22,8601.0
Fatehpur,241.0,Ayah Shah,58.44,Vikas Gupta,,BJP,71231.0,44.4,Vishambhar Prasad Nishad,,SP,58225.0,36.3,13006.0
Fatehpur,242.0,Husainganj,61.85,Usha Maurya,,SP,91884.0,48.78,Ranvendra Pratap Singh,,BJP,66703.0,35.41,25181.0
Fatehpur,243.0,Khaga (SC),58.34,Krishna Paswan,,BJP,83735.0,41.87,Ramthirth Paramhans,,SP,78226.0,39.12,5509.0
Pratapgarh,244.0,Rampur Khas,52.3,Aradhana Misra Mona,,INC,84334.0,50.27,Nagesh Pratap Singh,,BJP,69593.0,41.49,14741.0
Pratapgarh,245.0,Babaganj (SC),52.18,Vinod Kumar,,JD(L),67282.0,40.34,Girish Chandra,,SP,51515.0,30.8,15767.0
Pratapgarh,246.0,Kunda,55.2,Raghuraj Pratap Singh,,JD(L),99612.0,50.58,Gulshan Yadav,,SP,69297.0,35.19,30315.0
Pratapgarh,247.0,Vishwanathganj,50.28,Jeet Lal Patel,,AD(S),86829.0,43.21,Saurabh Singh,,SP,38777.0,19.3,48052.0
Pratapgarh,248.0,Pratapgarh,55.18,Rajendra Maurya,,BJP,89762.0,45.8,Krishna Patel,,AD(K),64699.0,33.01,25063.0
Pratapgarh,249.0,Patti,60.52,Ram Singh Patel,,SP,108070.0,48.73,Rajendra Pratap Singh,,BJP,86019.0,38.79,22051.0
Pratapgarh,250.0,Raniganj,56.15,Rakesh Kumar Verma,,SP,75583.0,40.05,Dhiraj Ojha,,BJP,72934.0,38.65,2649.0
Kaushambi,251.0,Sirathu,59.9,Pallavi Patel,,SP,106278.0,46.49,Keshav Prasad Maurya,,BJP,98941.0,43.28,7337.0
Kaushambi,252.0,Manjhanpur (SC),61.77,Indrajit Saroj,,SP,121506.0,47.2,Lal Bahadur,,BJP,97628.0,37.93,23878.0
Kaushambi,253.0,Chail,57.75,Pooja Pal,,SP,88818.0,39.65,Nagendra Pratap Singh,,AD(S),75609.0,33.76,13209.0
Prayagraj,254.0,Phaphamau,57.56,Guru Prasad Maurya,,BJP,91186.0,43.26,Ansar Ahmad,,SP,76862.0,36.47,14324.0
Prayagraj,255.0,Soraon (SC),58.68,Geeta Shastri,,SP,91474.0,40.99,Jamuna Prasad,,AD(S),85884.0,38.48,5590.0
Prayagraj,256.0,Phulpur,60.32,Praveen Patel,,BJP,103557.0,42.0,Mujataba Siddiqui,,SP,100825.0,40.89,2732.0
Prayagraj,257.0,Pratappur,55.92,Vijama Yadav,,SP,91142.0,40.09,Rakesh Dhar Tripathi,,AD(S),80186.0,35.27,10956.0
Prayagraj,258.0,Handia,53.47,Hakim Lal Bind,,SP,84417.0,39.36,Prashant Kumar Singh Rahul,,NISHAD,80874.0,37.71,3543.0
Prayagraj,259.0,Meja,57.22,Sandeep Singh Patel,,SP,78555.0,42.12,Neelam Karwariya,,BJP,75116.0,40.28,3439.0
Prayagraj,260.0,Karachhana,58.06,Piyush Ranjan Nishad,,BJP,89527.0,44.06,Ujjwal Raman Singh,,SP,80199.0,39.47,9328.0
Prayagraj,261.0,Allahabad West,48.49,Sidharth Nath Singh,,BJP,118759.0,53.29,Richa Singh,,SP,88826.0,39.86,29933.0
Prayagraj,262.0,Allahabad North,39.77,Harshvardhan Bajpai,,BJP,96890.0,55.07,Sandeep Yadav,,SP,42007.0,23.88,54883.0
Prayagraj,263.0,Allahabad South,44.27,Nand Gopal Gupta,,BJP,97864.0,54.14,Raish Chandra Shukla,,SP,71682.0,39.66,26182.0
Prayagraj,264.0,Bara (SC),61.25,Vachaspati,,AD(S),89203.0,43.49,Ajay Munna,,SP,76679.0,37.38,12464.0
Prayagraj,265.0,Koraon (SC),59.04,Rajmani Kol,,BJP,84587.0,40.74,Ram Deo,,SP,60100.0,28.95,24487.0
Barabanki,266.0,Kursi,73.03,Sakendra Pratap Verma,,BJP,118720.0,41.15,Rakesh Verma,,SP,118503.0,41.07,217.0
Barabanki,267.0,Ramnagar,69.6,Fareed Mahfooz Kidwai,,SP,98799.0,41.96,Sharad Kumar Awasthi,,BJP,98538.0,41.85,261.0
Barabanki,268.0,Barabanki,67.93,Dharmraj Singh Yadav,,SP,125500.0,47.11,Dr. Ramkumari Maurya,,BJP,90450.0,33.95,35050.0
Barabanki,269.0,Zaidpur (SC),70.0,Gaurav Kumar,,SP,113558.0,40.86,Ambrish Rawat,,BJP,110576.0,39.79,2982.0
Barabanki,270.0,Dariyabad,66.32,Satish Sharma,,BJP,127983.0,46.87,Arvind Kumar Singh Gope,,SP,95366.0,35.03,32617.0
Ayodhya,271.0,Rudauli,61.38,Ram Chandra Yadav,,BJP,94031.0,42.95,Anand Sen,,SP,53415.0,24.4,40616.0
Barabanki,272.0,Haidergarh (SC),65.78,Dinesh Rawat,,BJP,117113.0,50.9,Ram Magan Rawat,,SP,91422.0,39.73,25691.0
Ayodhya,273.0,Milkipur (SC),60.44,Awadhesh Prasad,,SP,103905.0,47.99,Baba Gorakhnath,,BJP,90567.0,41.83,13338.0
Ayodhya,274.0,Bikapur,63.65,Amit Singh Chauhan,,BJP,107268.0,44.24,Firoz Khan,,SP,101708.0,42.04,5560.0
Ayodhya,275.0,Ayodhya,60.53,Ved Prakash Gupta,,BJP,113414.0,49.04,Tej Narayan Pandey,,SP,93424.0,40.4,19990.0
Ayodhya,276.0,Goshainganj,61.07,Abhay Singh,,SP,105863.0,43.87,Arti Tiwari,,BJP,92784.0,38.45,13079.0
Ambedkar Nagar,277.0,Katehari,62.79,Lalji Verma,,SP,93524.0,37.78,Avadhesh Kumar,,NISHAD,85828.0,34.67,7696.0
Ambedkar Nagar,278.0,Tanda,66.43,Ram Murti Verma,,SP,95263.0,43.49,Kapil Deo,,BJP,63166.0,28.84,32097.0
Ambedkar Nagar,279.0,Alapur (SC),61.37,Tribhuwan Dutt,,SP,74165.0,35.55,Triveniram,,BJP,64782.0,31.05,9383.0
Ambedkar Nagar,280.0,Jalalpur,63.6,Rakesh Pandey,,SP,93668.0,36.18,Dr. Rajesh Singh,,BSP,80038.0,30.91,13630.0
Ambedkar Nagar,281.0,Akbarpur,64.6,Ram Achal Rajbhar,,SP,81391.0,38.14,Dharmraj Nishad,,BJP,69595.0,32.39,12336.0
Bahraich,282.0,Balha (SC),59.22,Saroj Sonkar,,BJP,100483.0,46.78,Akshaybar Nath Kanaujiya,,SP,83910.0,39.06,16573.0
Bahraich,283.0,Nanpara,58.07,Ram Niwas Verma,,AD(S),87689.0,43.91,Madhuri Verma,,SP,75505.0,37.81,12184.0
Bahraich,284.0,Matera,62.64,Mariya Shah,,SP,102255.0,48.13,Arun Veer Singh,,BJP,91827.0,43.24,10428.0
Bahraich,285.0,Mahasi,63.06,Sureshwar Singh,,BJP,117883.0,54.58,Krishna Kumar Ojha,,SP,75199.0,34.82,42684.0
Bahraich,286.0,Bahraich,59.04,Anupma Jaiswal,,BJP,107628.0,46.45,Yasar Shah,,SP,103550.0,44.69,4078.0
Bahraich,287.0,Payagpur,59.12,Subhash Tripathi,,BJP,110162.0,47.77,Mukesh Srivastava,,SP,98106.0,42.54,12056.0
Bahraich,288.0,Kaiserganj,58.13,Anand Kumar,,SP,103195.0,45.51,Gaurav Verma,,BJP,95424.0,42.11,7771.0
Shrawasti,289.0,Bhinga,58.76,Indrani Devi,,SP,103661.0,44.85,Padam Sen Chaudhary,,BJP,90087.0,38.98,13574.0
Shrawasti,290.0,Shrawasti,60.81,Ram Feran Pandey,,BJP,98640.0,38.98,Mohhamad Aslam Rainee,,SP,97183.0,38.4,1457.0
Balrampur,291.0,Tulsipur,52.81,Kailash Nath Shukla,,BJP,87092.0,42.92,Zeba Rizwan,,IND,51251.0,25.27,35841.0
Balrampur,292.0,Gainsari,51.94,Shiv Pratap Yadav,,SP,75345.0,39.68,Shailesh Kumar Singh,,BJP,69508.0,36.61,5837.0
Balrampur,293.0,Utraula,45.07,Ram Pratap Verma,,BJP,87162.0,44.43,Haseeb Hasan Khan,,SP,65393.0,33.93,21769.0
Balrampur,294.0,Balrampur (SC),48.3,Paltu Ram,,BJP,101146.0,48.93,Jagram Paswan,,SP,90175.0,43.62,10971.0
Gonda,295.0,Mehnaun,58.58,Vinay Kumar Dwivedi,,BJP,107237.0,50.05,Nandita Shukla,,SP,84109.0,39.22,23128.0
Gonda,296.0,Gonda,57.54,Prateek Bhushan Singh,,BJP,96528.0,48.21,Suraj Singh,,SP,89828.0,44.87,6700.0
Gonda,297.0,Katra Bazar,60.54,Bawan Singh,,BJP,112291.0,47.86,Baijnath Dubey,,SP,93834.0,39.99,18457.0
Gonda,298.0,Colonelganj,58.64,Ajay,,BJP,108109.0,55.8,Yogesh Pratap Singh,,SP,72637.0,37.49,35472.0
Gonda,299.0,Tarabganj,57.46,Prem Narayan Pandey,,BJP,125325.0,59.39,Ram Bhajan Chaubey,,SP,71365.0,33.95,53690.0
Gonda,300.0,Mankapur (SC),55.2,Ramapati Shastri,,BJP,105677.0,57.69,Ramesh Chandra,,SP,63328.0,34.57,42349.0
Gonda,301.0,Gaura,53.79,Prabhat Kumar Verma,,BJP,73545.0,42.62,Sanjay Kumar,,SP,50571.0,29.31,22974.0
Siddharthnagar,302.0,Shohratgarh,52.81,Vinay Verma,,AD(S),71062.0,37.46,Prem Chand Nishad,,SBSP,46599.0,22.56,24463.0
Siddharthnagar,303.0,Kapilvastu (SC),55.71,Shyam Dhani,,BJP,122940.0,48.72,Vinay Paswan,,SP,92001.0,36.46,30939.0
Siddharthnagar,304.0,Bansi,49.51,Jai Pratap Singh,,BJP,84596.0,44.82,Monu Dubey,,SP,64256.0,34.04,20340.0
Siddharthnagar,305.0,Itwa,49.56,Mata Prasad Pandey,,SP,64253.0,38.54,Satish Chandra Dwiwedi,,BJP,62591.0,37.55,1662.0
Siddharthnagar,306.0,Domariyaganj,50.42,Saiyada Khatoon,,SP,85098.0,41.19,Raghvendra Pratap Singh,,BJP,84327.0,40.82,771.0
Basti,307.0,Harraiya,56.91,Ajay Kumar Singh,,BJP,88200.0,39.75,Triyambak Pathak,,SP,69871.0,31.57,18329.0
Basti,308.0,Kaptanganj,59.09,Kavindra Chaudhary,,SP,94273.0,43.66,Chandra Prakash Shukla,,BJP,70094.0,32.46,24179.0
Basti,309.0,Rudhauli,54.47,Rajendra Prasad Chaudhary,,SP,86360.0,36.82,Sangeeta Pratap Jaiswal,,BJP,71134.0,30.33,15226.0
Basti,310.0,Basti Sadar,58.56,Mahendra Nath Yadav,,SP,86029.0,39.81,Dayaram Choudhary,,BJP,84250.0,38.99,1779.0
Basti,311.0,Mahadewa (SC),58.16,Dudhram,,SBSP,83350.0,39.47,Ravi Kumar Sonkar,,BJP,77855.0,36.87,5495.0
Sant Kabir Nagar,312.0,Menhdawal,52.9,Anil Kumar Tripathi,,NISHAD,90193.0,37.23,Jay Chand,,SP,84970.0,35.08,5223.0
Sant Kabir Nagar,313.0,Khalilabad,54.72,Ankur Raj Tiwari,,BJP,76086.0,30.36,Digvijay Narayan,,SP,63464.0,25.32,12262.0
Sant Kabir Nagar,314.0,Dhanghata (SC),55.81,Ganesh Chandra Chauhan,,BJP,83241.0,38.5,Alagu Prasad,,SBSP,72688.0,33.62,10553.0
Maharajganj,315.0,Pharenda,60.9,Virendra Chaudhary,,INC,85181.0,40.28,Bajrang Bahadur Singh,,BJP,83935.0,39.69,1246.0
Maharajganj,316.0,Nautanwa,61.5,Rishi Tripathi,,NISHAD,90263.0,40.03,Kunwar Kaushal Singh,,SP,74392.0,33.23,15691.0
Maharajganj,317.0,Siswa,65.51,Prem Sagar Patel,,BJP,127673.0,50.05,Sushil Kumar Tibrewal,,SP,64942.0,25.46,62731.0
Maharajganj,318.0,Maharajganj (SC),63.45,Jai Mangal Kanojiya,,BJP,136071.0,51.08,Nirmesh Mangal,,IND,59168.0,22.53,76903.0
Maharajganj,319.0,Paniyara,61.36,Gyanendra Singh,,BJP,135463.0,52.11,Krishnabhan Singh Sainthwar,,SP,74035.0,28.48,61428.0
Gorakhpur,320.0,Caimpiyarganj,58.48,Fateh Bahadur Singh,,BJP,122032.0,54.38,Kajal Nishad,,SP,79376.0,35.37,42656.0
Gorakhpur,321.0,Pipraich,63.73,Mahendra Pal Singh,,BJP,141780.0,54.86,Amrendra Nishad,,SP,76423.0,29.57,65357.0
Gorakhpur,322.0,Gorakhpur Urban,53.8,Yogi Adityanath,,BJP,165499.0,66.18,Subhawati Shukla,,SP,62109.0,24.84,103390.0
Gorakhpur,323.0,Gorakhpur Rural,60.79,Bipin Singh,,BJP,126376.0,49.59,Vijay Bahadur Yadav,,SP,102306.0,40.14,24070.0
Gorakhpur,324.0,Sahajanwa,59.13,Pradeep Shukla,,BJP,105981.0,47.21,Yashwant Singh Rawat,,SP,62575.0,27.87,43406.0
Gorakhpur,325.0,Khajani (SC),52.31,Sriram Chauhan,,BJP,90210.0,45.31,Rupawati Beldar,,SP,53109.0,26.71,37101.0
Gorakhpur,326.0,Chauri-Chaura,57.99,Sarvan Kumar Nishad,,BJP,91958.0,44.65,Brijesh Chandra Lal Paswan,,SP,50831.0,24.68,41127.0
Gorakhpur,327.0,Bansgaon (SC),49.48,Vimlesh Paswan,,BJP,87224.0,46.26,Sanjay Kumar,,SP,54915.0,29.13,32209.0
Gorakhpur,328.0,Chillupar,52.98,Rajesh Tripathi,,BJP,96777.0,42.49,Vinay Shankar Tiwari,,SP,75132.0,32.98,21645.0
Kushinagar,329.0,Khadda,60.27,Vivekanand Pandey,,NISHAD,88291.0,43.08,Vijay Pratap Kushwaha,,IND,46840.0,22.85,41451.0
Kushinagar,330.0,Padrauna,60.1,Manish Jaiswal,,BJP,114496.0,49.8,Vikram Yadav,,SP,72488.0,31.53,42008.0
Kushinagar,331.0,Tamkuhi Raj,56.6,Asim Kumar,,BJP,115123.0,50.81,Uday Narayan,,SP,48651.0,21.47,66472.0
Kushinagar,332.0,Fazilnagar,56.2,Surendra Kumar Kushwaha,,BJP,116029.0,51.61,Swami Prasad Maurya,,SP,71015.0,31.15,45014.0
Kushinagar,333.0,Kushinagar,59.23,Panchanand Pathak,,BJP,115268.0,52.14,Rajesh Pratap Rao,,SP,80478.0,36.4,34790.0
Kushinagar,334.0,Hata,58.0,Mohan Verma,,BJP,120666.0,55.7,Ranvijay Singh,,SP,61301.0,28.3,59365.0
Kushinagar,335.0,Ramkola (SC),57.58,Vinay Prakash Gond,,BJP,124792.0,58.27,Purnmasi Dehati,,SBSP,52249.0,24.4,72543.0
Deoria,336.0,Rudrapur,56.59,Jai Prakash Nishad,,BJP,78187.0,42.99,Ram Bhuwal Nishad,,SP,36251.0,19.93,41936.0
Deoria,337.0,Deoria,56.69,Shalabh Mani Tripathi,,BJP,106701.0,53.52,Ajay Pratap Singh,,SP,66046.0,33.13,40655.0
Deoria,338.0,Pathardeva,59.37,Surya Pratap Shahi,,BJP,93858.0,46.65,Brahma Shankar Tripathi,,SP,65177.0,32.4,28681.0
Deoria,339.0,Rampur Karkhana,58.08,Surendra Chaurasia,,BJP,90742.0,43.85,Ghazala Lari,,SP,76072.0,36.76,14670.0
Deoria,340.0,Bhatpar Rani,57.43,Sabhakunwar Kushawaha,,BJP,91282.0,46.98,Ashutosh Upadhyay,,SP,73200.0,37.68,18082.0
Deoria,341.0,Salempur (SC),51.65,Vijay Laxmi Gautam,,BJP,82047.0,46.15,Manbodh Prasad,,SBSP,65439.0,36.8,16608.0
Deoria,342.0,Barhaj,58.11,Deepak Kumar Mishra,,BJP,85758.0,46.33,Murli Manohar Jaiswal,,SP,68897.0,37.22,16861.0
Azamgarh,343.0,Atrauliya,60.86,Sangram Yadav,,SP,91502.0,39.55,Prashant Singh,,NISHAD,74255.0,32.1,17247.0
Azamgarh,344.0,Gopalpur,58.94,Nafees Ahmad,,SP,84401.0,40.87,Satyendra Rai,,BJP,60094.0,29.1,24307.0
Azamgarh,345.0,Sagri,57.77,Hriday Narayan Singh Patel,,SP,83093.0,42.76,Smt. Vandana Singh,,BJP,60578.0,31.17,22515.0
Azamgarh,346.0,Mubarakpur,63.29,Akhilesh Yadav,,SP,80726.0,36.02,Arvind Jaiswal,,BJP,51623.0,23.03,29103.0
Azamgarh,347.0,Azamgarh,59.64,Durga Prasad Yadav,,SP,100813.0,42.66,Akhilesh Kumar Mishra,,BJP,84777.0,35.87,16036.0
Azamgarh,348.0,Nizamabad,56.4,Alambadi,,SP,79835.0,43.22,Manoj,,BJP,45648.0,24.71,34187.0
Azamgarh,349.0,Phoolpur Pawai,58.77,Ramakant Yadav,,SP,81164.0,42.0,Ramsurat Rajbhar,,BJP,55858.0,28.91,25306.0
Azamgarh,350.0,Didarganj,54.98,Kamlakant Rajbhar,,SP,74342.0,36.99,Krishna Murari Vishwakarma,,BJP,60781.0,30.25,13561.0
Azamgarh,351.0,Lalganj (SC),53.65,Bechai Saroj,,SP,83767.0,38.31,Neelam Sonkar,,BJP,69034.0,31.57,14733.0
Azamgarh,352.0,Mehnagar (SC),54.67,Puja Saroj,,SP,86960.0,39.35,Manju Saroj,,BJP,72811.0,32.94,14149.0
Mau,353.0,Madhuban,55.54,Ram Bilash Chauhan,,BJP,79032.0,35.24,Umesh Pandey,,SP,74584.0,33.26,4448.0
Mau,354.0,Ghosi,58.53,Dara Singh Chauhan,,SP,108430.0,42.21,Vijay Rajbhar,,BJP,86214.0,33.57,22216.0
Mau,355.0,Muhammadabad-Gohna (SC),60.0,Rajendra Kumar,,SP,94688.0,41.48,Smt. Poonam Saroj,,BJP,68039.0,29.8,26649.0
Mau,356.0,Mau,57.92,Abbas Ansari,,SBSP,124691.0,44.69,Ashok Singh,,BJP,86575.0,31.03,38116.0
